session_start,session_close,session_type
2025-08-18 08:00:00+00:00,2025-08-19 08:00:00+00:00,weekday
2025-08-23 08:00:00+00:00,2025-08-24 08:00:00+00:00,weekend
2025-08-25 08:00:00+00:00,2025-08-26 08:00:00+00:00,weekday
2025-08-30 08:00:00+00:00,2025-08-31 08:00:00+00:00,weekend
2025-09-01 08:00:00+00:00,2025-09-02 08:00:00+00:00,weekday
2025-09-06 08:00:00+00:00,2025-09-07 08:00:00+00:00,weekend
2025-09-08 08:00:00+00:00,2025-09-09 08:00:00+00:00,weekday
2025-09-13 08:00:00+00:00,2025-09-14 08:00:00+00:00,weekend
2025-09-15 08:00:00+00:00,2025-09-16 08:00:00+00:00,weekday
2025-09-20 08:00:00+00:00,2025-09-21 08:00:00+00:00,weekend
2025-09-22 08:00:00+00:00,2025-09-23 08:00:00+00:00,weekday
2025-09-27 08:00:00+00:00,2025-09-28 08:00:00+00:00,weekend
2025-09-29 08:00:00+00:00,2025-09-30 08:00:00+00:00,weekday
2025-10-04 08:00:00+00:00,2025-10-05 08:00:00+00:00,weekend
2025-10-06 08:00:00+00:00,2025-10-07 08:00:00+00:00,weekday
2025-10-11 08:00:00+00:00,2025-10-12 08:00:00+00:00,weekend
2025-10-13 08:00:00+00:00,2025-10-14 08:00:00+00:00,weekday
2025-10-18 08:00:00+00:00,2025-10-19 08:00:00+00:00,weekend
2025-10-20 08:00:00+00:00,2025-10-21 08:00:00+00:00,weekday
2025-10-25 08:00:00+00:00,2025-10-26 08:00:00+00:00,weekend
2025-10-27 08:00:00+00:00,2025-10-28 08:00:00+00:00,weekday
2025-11-01 08:00:00+00:00,2025-11-02 08:00:00+00:00,weekend
2025-11-03 08:00:00+00:00,2025-11-04 08:00:00+00:00,weekday
2025-11-08 08:00:00+00:00,2025-11-09 08:00:00+00:00,weekend
2025-11-10 08:00:00+00:00,2025-11-11 08:00:00+00:00,weekday
2025-11-15 08:00:00+00:00,2025-11-16 08:00:00+00:00,weekend
2025-11-17 08:00:00+00:00,2025-11-18 08:00:00+00:00,weekday
2025-11-22 08:00:00+00:00,2025-11-23 08:00:00+00:00,weekend
2025-11-24 08:00:00+00:00,2025-11-25 08:00:00+00:00,weekday
2025-11-29 08:00:00+00:00,2025-11-30 08:00:00+00:00,weekend
2025-12-01 08:00:00+00:00,2025-12-02 08:00:00+00:00,weekday
2025-12-06 08:00:00+00:00,2025-12-07 08:00:00+00:00,weekend
2025-12-08 08:00:00+00:00,2025-12-09 08:00:00+00:00,weekday
2025-12-13 08:00:00+00:00,2025-12-14 08:00:00+00:00,weekend
2025-12-15 08:00:00+00:00,2025-12-16 08:00:00+00:00,weekday
2025-12-20 08:00:00+00:00,2025-12-21 08:00:00+00:00,weekend
2025-12-22 08:00:00+00:00,2025-12-23 08:00:00+00:00,weekday
2025-12-27 08:00:00+00:00,2025-12-28 08:00:00+00:00,weekend
2025-12-29 08:00:00+00:00,2025-12-30 08:00:00+00:00,weekday
