session_start,session_type,session_dow,leg,strike,option_type,position,entry_price,expiry,contracts,spot_at_expiry,exit_price,pnl
2023-03-18 08:00:00+00:00,weekend,saturday,otm_call,30000.0,C,long,0.0005,2023-03-19 08:00:00+00:00,1,27058.18,0.0,-13.52909
2023-03-18 08:00:00+00:00,weekend,saturday,otm_put,25000.0,P,long,0.0005,2023-03-19 08:00:00+00:00,1,27058.18,0.0,-13.52909
2023-03-22 08:00:00+00:00,weekday,wednesday,atm_call,28250.0,C,short,0.019,2023-03-23 08:00:00+00:00,1,27723.87,0.0,526.75353
2023-03-22 08:00:00+00:00,weekday,wednesday,atm_put,28250.0,P,short,0.0235,2023-03-23 08:00:00+00:00,1,27723.87,526.130000000001,125.38094499999897
2023-03-22 08:00:00+00:00,weekday,wednesday,otm_call,31000.0,C,long,0.002,2023-03-23 08:00:00+00:00,1,27723.87,0.0,-55.447739999999996
2023-03-22 08:00:00+00:00,weekday,wednesday,otm_put,25000.0,P,long,0.0005,2023-03-23 08:00:00+00:00,1,27723.87,0.0,-13.861934999999999
2023-03-25 08:00:00+00:00,weekend,saturday,atm_call,27500.0,C,short,0.0085,2023-03-26 08:00:00+00:00,1,27537.06,37.06000000000131,197.00500999999872
2023-03-25 08:00:00+00:00,weekend,saturday,atm_put,27500.0,P,short,0.0075,2023-03-26 08:00:00+00:00,1,27537.06,0.0,206.52795
2023-03-25 08:00:00+00:00,weekend,saturday,otm_call,29000.0,C,long,0.0005,2023-03-26 08:00:00+00:00,1,27537.06,0.0,-13.76853
2023-03-25 08:00:00+00:00,weekend,saturday,otm_put,26000.0,P,long,0.001,2023-03-26 08:00:00+00:00,1,27537.06,0.0,-27.53706
2023-03-27 08:00:00+00:00,weekday,monday,atm_call,27750.0,C,short,0.013,2023-03-28 08:00:00+00:00,1,26970.47,0.0,350.61611
2023-03-27 08:00:00+00:00,weekday,monday,atm_put,27750.0,P,short,0.01,2023-03-28 08:00:00+00:00,1,26970.47,779.5299999999988,-509.82529999999883
2023-03-27 08:00:00+00:00,weekday,monday,otm_call,30000.0,C,long,0.0005,2023-03-28 08:00:00+00:00,1,26970.47,0.0,-13.485235000000001
2023-03-27 08:00:00+00:00,weekday,monday,otm_put,26000.0,P,long,0.0005,2023-03-28 08:00:00+00:00,1,26970.47,0.0,-13.485235000000001
2023-04-02 08:00:00+00:00,weekend,sunday,atm_call,28500.0,C,short,0.0065,2023-04-03 08:00:00+00:00,1,27974.27,0.0,181.832755
2023-04-02 08:00:00+00:00,weekend,sunday,atm_put,28500.0,P,short,0.0095,2023-04-03 08:00:00+00:00,1,27974.27,525.7299999999996,-259.9744349999996
2023-04-02 08:00:00+00:00,weekend,sunday,otm_call,29500.0,C,long,0.001,2023-04-03 08:00:00+00:00,1,27974.27,0.0,-27.97427
2023-04-02 08:00:00+00:00,weekend,sunday,otm_put,27000.0,P,long,0.0005,2023-04-03 08:00:00+00:00,1,27974.27,0.0,-13.987135
